WeekID,Week Position,Song,Performer,SongID
2015-10-17,1,The Hills,The Weeknd,The HillsThe Weeknd
2015-10-24,1,The Hills,The Weeknd,The HillsThe Weeknd
2015-10-31,1,The Hills,The Weeknd,The HillsThe Weeknd
2015-11-07,1,The Hills,The Weeknd,The HillsThe Weeknd
2015-11-14,1,Hello,Adele,HelloAdele
2015-11-21,1,Hello,Adele,HelloAdele
2015-11-28,1,Hello,Adele,HelloAdele
2015-12-05,1,Hello,Adele,HelloAdele
2015-12-12,1,Hello,Adele,HelloAdele
2015-12-19,1,Hello,Adele,HelloAdele
2015-12-26,1,Hello,Adele,HelloAdele
2016-01-02,1,Hello,Adele,HelloAdele
2016-01-09,1,Hello,Adele,HelloAdele
2016-01-16,1,Hello,Adele,HelloAdele
2016-01-23,1,Sorry,Justin Bieber,SorryJustin Bieber
2016-01-30,1,Sorry,Justin Bieber,SorryJustin Bieber
2016-02-06,1,Sorry,Justin Bieber,SorryJustin Bieber
2016-02-13,1,Love Yourself,Justin Bieber,Love YourselfJustin Bieber
2016-02-20,1,Pillowtalk,Zayn,PillowtalkZayn
2016-02-27,1,Love Yourself,Justin Bieber,Love YourselfJustin Bieber
2016-03-05,1,Work,Rihanna Featuring Drake,WorkRihanna Featuring Drake
2016-03-12,1,Work,Rihanna Featuring Drake,WorkRihanna Featuring Drake
2016-03-19,1,Work,Rihanna Featuring Drake,WorkRihanna Featuring Drake
2016-03-26,1,Work,Rihanna Featuring Drake,WorkRihanna Featuring Drake
2016-04-02,1,Work,Rihanna Featuring Drake,WorkRihanna Featuring Drake
2016-04-09,1,Work,Rihanna Featuring Drake,WorkRihanna Featuring Drake
2016-04-16,1,Work,Rihanna Featuring Drake,WorkRihanna Featuring Drake
2016-04-23,1,Work,Rihanna Featuring Drake,WorkRihanna Featuring Drake
2016-04-30,1,Work,Rihanna Featuring Drake,WorkRihanna Featuring Drake
2016-05-07,1,Panda,Desiigner,PandaDesiigner
2016-05-14,1,Panda,Desiigner,PandaDesiigner
