Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Name
2012-12-17,1413.540039,1430.670044,1413.540039,1430.359985,1430.359985,3455610000,2012,12,17,Monday
2012-12-24,1430.150024,1430.150024,1424.660034,1426.660034,1426.660034,1248960000,2012,12,24,Monday
2012-12-31,1402.430054,1426.73999,1398.109985,1426.189941,1426.189941,3204330000,2012,12,31,Monday
2013-01-07,1466.469971,1466.469971,1456.619995,1461.890015,1461.890015,3304970000,2013,1,7,Monday
2013-01-14,1472.050049,1472.050049,1465.689941,1470.680054,1470.680054,3003010000,2013,1,14,Monday
2013-01-28,1502.959961,1503.22998,1496.329956,1500.180054,1500.180054,3388540000,2013,1,28,Monday
2013-02-04,1513.170044,1513.170044,1495.02002,1495.709961,1495.709961,3390000000,2013,2,4,Monday
2013-02-11,1517.930054,1518.310059,1513.609985,1517.01001,1517.01001,2684100000,2013,2,11,Monday
2013-02-25,1515.599976,1525.839966,1487.849976,1487.849976,1487.849976,4011050000,2013,2,25,Monday
2013-03-04,1518.199951,1525.27002,1512.290039,1525.199951,1525.199951,3414430000,2013,3,4,Monday
2013-03-11,1551.150024,1556.27002,1547.359985,1556.219971,1556.219971,3091080000,2013,3,11,Monday
2013-03-18,1560.699951,1560.699951,1545.130005,1552.099976,1552.099976,3164560000,2013,3,18,Monday
2013-03-25,1556.890015,1564.910034,1546.219971,1551.689941,1551.689941,3178170000,2013,3,25,Monday
2013-04-01,1569.180054,1570.569946,1558.469971,1562.170044,1562.170044,2753110000,2013,4,1,Monday
2013-04-08,1553.26001,1563.069946,1548.630005,1563.069946,1563.069946,2887120000,2013,4,8,Monday
2013-04-15,1588.839966,1588.839966,1552.280029,1552.359985,1552.359985,4660130000,2013,4,15,Monday
2013-04-22,1555.25,1565.550049,1548.189941,1562.5,1562.5,2979880000,2013,4,22,Monday
2013-04-29,1582.339966,1596.650024,1582.339966,1593.609985,1593.609985,2891200000,2013,4,29,Monday
2013-05-06,1614.400024,1619.77002,1614.209961,1617.5,1617.5,3062240000,2013,5,6,Monday
2013-05-13,1632.099976,1636.0,1626.73999,1633.77002,1633.77002,2910600000,2013,5,13,Monday
2013-05-20,1665.709961,1672.839966,1663.52002,1666.290039,1666.290039,3275080000,2013,5,20,Monday
2013-06-03,1631.709961,1640.420044,1622.719971,1640.420044,1640.420044,3952070000,2013,6,3,Monday
2013-06-10,1644.670044,1648.689941,1639.26001,1642.810059,1642.810059,2978730000,2013,6,10,Monday
2013-06-17,1630.640015,1646.5,1630.339966,1639.040039,1639.040039,3137080000,2013,6,17,Monday
2013-06-24,1588.77002,1588.77002,1560.329956,1573.089966,1573.089966,4733660000,2013,6,24,Monday
