Date,Open,High,Low,Close,Adj Close,Volume,Day,Weekly_Ret,2Weekly_Ret,LogWeekly_Ret,Log2Weekly_Ret,4Weekly_Ret,Log4_Weekly
30-10-15,2090,2094.320068,2079.340088,2079.360107,2079.360107,4256200000,6,0.002028868,0.02274846,0.002026813,0.022493572,0.06559534,0.063533648
06-11-15,2098.600098,2101.909912,2083.73999,2099.199951,2099.199951,4369020000,6,0.009541322,0.011589548,0.009496091,0.011522903,0.041843443,0.040991686
13-11-15,2044.640015,2044.640015,2022.02002,2023.040039,2023.040039,4278750000,6,-0.036280447,-0.027085288,-0.036954947,-0.027458856,-0.004952977,-0.004965283
20-11-15,2082.820068,2097.060059,2082.820068,2089.169922,2089.169922,3929600000,6,0.032688371,-0.004778025,0.032165471,-0.004789476,0.006756148,0.006733428
27-11-15,2088.820068,2093.290039,2084.129883,2090.110107,2090.110107,1466840000,6,0.000450028,0.03315311,0.000449927,0.032615397,0.00516986,0.005156542
04-12-15,2051.23999,2093.840088,2051.23999,2091.689941,2091.689941,4214910000,6,0.000755862,0.00120623,0.000755576,0.001205503,-0.003577558,-0.003583973
11-12-15,2047.27002,2047.27002,2008.800049,2012.369995,2012.369995,4301060000,6,-0.037921465,-0.037194266,-0.038659194,-0.037903618,-0.005274262,-0.00528822
18-12-15,2040.810059,2040.810059,2005.329956,2005.550049,2005.550049,6683070000,6,-0.003389012,-0.04118196,-0.003394768,-0.042053962,-0.040025405,-0.040848459
08-01-16,1945.969971,1960.400024,1918.459961,1922.030029,1922.030029,4664940000,6,-0.041644446,-0.044892324,-0.042536428,-0.045931195,-0.080416853,-0.083834813
15-01-16,1916.680054,1916.680054,1857.829956,1880.329956,1880.329956,5468460000,6,-0.021695849,-0.062436783,-0.021934664,-0.064471092,-0.101047474,-0.106525054
22-01-16,1877.400024,1908.849976,1877.400024,1906.900024,1906.900024,4901760000,6,0.014130535,-0.007871888,0.014031629,-0.007903035,-0.052410825,-0.05383423
29-01-16,1894,1940.23999,1894,1940.23999,1940.23999,5497570000,6,0.017483856,0.031861447,0.017332772,0.031364402,-0.032564662,-0.03310669
05-02-16,1913.069946,1913.069946,1872.650024,1880.050049,1880.050049,4929940000,6,-0.031021905,-0.014080431,-0.031513273,-0.014180501,-0.02184148,-0.022083536
12-02-16,1833.400024,1864.780029,1833.400024,1864.780029,1864.780029,4696920000,6,-0.008122135,-0.038892076,-0.008155299,-0.039668572,-0.008269786,-0.008304171
19-02-16,1916.73999,1918.780029,1902.170044,1917.780029,1917.780029,4142850000,6,0.028421583,0.020068604,0.028025183,0.019869884,0.005705598,0.005689383
26-02-16,1954.949951,1962.959961,1945.780029,1948.050049,1948.050049,4348510000,6,0.015783885,0.044654071,0.015660615,0.043685798,0.004025306,0.004017226
04-03-16,1994.01001,2009.130005,1986.77002,1999.98999,1999.98999,6049930000,6,0.026662529,0.042867253,0.026313278,0.041973893,0.063796143,0.061843777
11-03-16,1994.709961,2022.369995,1994.709961,2022.189941,2022.189941,4078620000,6,0.011100031,0.038058515,0.011038878,0.037352156,0.084412054,0.081037954
18-03-16,2041.160034,2052.360107,2041.160034,2049.580078,2049.580078,6503140000,6,0.013544789,0.024795168,0.013453879,0.024492757,0.068725321,0.06646665
01-04-16,2056.620117,2075.070068,2043.97998,2072.780029,2072.780029,3749990000,6,0.011319368,0.025017476,0.011255783,0.024709662,0.064028119,0.062061818
08-04-16,2045.540039,2060.629883,2041.689941,2047.599976,2047.599976,3359530000,6,-0.012147962,-0.000966101,-0.012222352,-0.000966568,0.023805112,0.023526188
15-04-16,2083.100098,2083.219971,2076.310059,2080.72998,2080.72998,3701450000,6,0.01617992,0.003835405,0.01605042,0.003828069,0.028948833,0.028537731
22-04-16,2091.48999,2094.320068,2081.199951,2091.580078,2091.580078,3790580000,6,0.005214563,0.021478855,0.005201014,0.021251435,0.020492002,0.020284866
29-04-16,2071.820068,2073.850098,2052.280029,2065.300049,2065.300049,4704720000,6,-0.012564677,-0.007415634,-0.01264428,-0.007443266,-0.00360867,-0.003615197
06-05-16,2047.77002,2057.719971,2039.449951,2057.139893,2057.139893,3796350000,6,-0.003951075,-0.016466109,-0.003958901,-0.016603182,0.004659073,0.004648253
13-05-16,2062.5,2066.790039,2043.130005,2046.609985,2046.609985,3579880000,6,-0.005118713,-0.009049564,-0.005131858,-0.00909076,-0.016398089,-0.016534026
20-05-16,2041.880005,2058.350098,2041.880005,2052.320068,2052.320068,3507650000,6,0.00279002,-0.002342974,0.002786135,-0.002345723,-0.018770503,-0.018948905
27-05-16,2090.060059,2099.060059,2090.060059,2099.060059,2099.060059,3079150000,6,0.022774221,0.025627782,0.02251876,0.025304895,0.016346298,0.016214136
03-06-16,2104.070068,2104.070068,2085.360107,2099.129883,2099.129883,3627780000,6,3.32644E-05,0.022808243,3.32639E-05,0.022552024,0.02041183,0.020206301
10-06-16,2109.570068,2109.570068,2089.959961,2096.070068,2096.070068,3515010000,6,-0.001457659,-0.001424443,-0.001458722,-0.001425458,0.024166834,0.023879437
17-06-16,2078.199951,2078.199951,2062.840088,2071.219971,2071.219971,4952630000,6,-0.011855566,-0.013295943,-0.011926404,-0.013385126,0.009209043,0.009166898
24-06-16,2103.810059,2103.810059,2032.569946,2037.410034,2037.410034,7597450000,6,-0.016323682,-0.027985722,-0.016458382,-0.028384785,-0.029370301,-0.029810244
01-07-16,2099.340088,2108.709961,2097.899902,2102.949951,2102.949951,3458890000,6,0.032168251,0.015319464,0.031661688,0.015203306,0.001819834,0.00181818
08-07-16,2106.969971,2131.709961,2106.969971,2129.899902,2129.899902,3607500000,6,0.012815308,0.045395805,0.012733887,0.044395574,0.016139648,0.016010789
15-07-16,2165.129883,2169.050049,2155.790039,2161.73999,2161.73999,3122600000,6,0.014949101,0.027955986,0.014838464,0.027572351,0.043703721,0.042775657
22-07-16,2166.469971,2175.110107,2163.23999,2175.030029,2175.030029,3023280000,6,0.006147843,0.021188849,0.006129023,0.020967487,0.067546538,0.065363061
29-07-16,2168.830078,2177.090088,2163.48999,2173.600098,2173.600098,4038840000,6,-0.00065743,0.005486371,-0.000657647,0.005471376,0.033595734,0.033043727
05-08-16,2168.790039,2182.870117,2168.790039,2182.870117,2182.870117,3663070000,6,0.004264823,0.003604588,0.004255754,0.003598107,0.024869814,0.024565594
12-08-16,2183.73999,2186.280029,2179.419922,2184.050049,2184.050049,3000660000,6,0.000540542,0.00480767,0.000540396,0.00479615,0.010320417,0.010267525
19-08-16,2184.23999,2185,2175.129883,2183.870117,2183.870117,3084800000,6,-8.23846E-05,0.000458112,-8.2388E-05,0.000458008,0.004064352,0.004056115
26-08-16,2175.100098,2187.939941,2160.389893,2169.040039,2169.040039,3342340000,6,-0.006790733,-0.006872558,-0.006813895,-0.006896282,-0.002097929,-0.002100133
02-09-16,2177.48999,2184.870117,2173.590088,2179.97998,2179.97998,3091120000,6,0.005043679,-0.001781304,0.005031002,-0.001782893,-0.001324008,-0.001324885
09-09-16,2169.080078,2169.080078,2127.810059,2127.810059,2127.810059,4233960000,6,-0.023931376,-0.0190084,-0.024222384,-0.019191382,-0.025750321,-0.026087664
16-09-16,2146.47998,2146.47998,2131.199951,2139.159912,2139.159912,5014360000,6,0.005334054,-0.018724974,0.005319878,-0.018902506,-0.020472923,-0.020685398
23-09-16,2173.290039,2173.75,2163.969971,2164.689941,2164.689941,3317190000,6,0.011934605,0.017332319,0.011863949,0.017183827,-0.002005541,-0.002007554
30-09-16,2156.51001,2175.300049,2156.51001,2168.27002,2168.27002,4173340000,6,0.001653853,0.013608196,0.001652487,0.013516436,-0.005371591,-0.005386069
07-10-16,2164.189941,2165.860107,2144.850098,2153.73999,2153.73999,3619890000,6,-0.006701209,-0.005058439,-0.006723763,-0.005071276,0.012186206,0.012112552
14-10-16,2139.679932,2149.189941,2132.97998,2132.97998,2132.97998,3228150000,6,-0.009639051,-0.016275667,-0.009685808,-0.01640957,-0.002888953,-0.002893134
21-10-16,2139.429932,2142.629883,2130.090088,2141.159912,2141.159912,3448850000,6,0.003834978,-0.005841038,0.003827644,-0.005858164,-0.01086993,-0.01092944
